id,date,source,text
1,2026-06-15,Лента.ру,Назван связанный с продолжительностью жизни индикатор здоровья
2,2026-06-15,Лента.ру,Кевин Спейси рассказал Собчак о жизни после обвинений в сексуальных домогательствах
3,2026-06-15,Лента.ру,Командующий Люфтваффе заявил о готовности сразиться с Россией «уже сегодня ночью»
4,2026-06-15,Лента.ру,Перечислены попавшие под высокоточный российский удар возмездия предприятия на Украине
5,2026-06-15,Лента.ру,Российскому городу предсказали превращение в Хургаду к 2045 году
6,2026-06-15,Лента.ру,Пожар на территории Киево-Печерской лавры во время удара возмездия России объяснили
7,2026-06-15,Лента.ру,Россияне смогут отдохнуть в Турции по системе «все включено» от 120 тысяч рублей
8,2026-06-15,Лента.ру,В России стало невыгодно увольнять некоторых работников
9,2026-06-15,Лента.ру,В регионе России сбили ракету ВСУ
10,2026-06-15,Лента.ру,Одна из богатейших женщин мира помогла Маску стать триллионером
11,2026-06-15,Лента.ру,Проститутка пыталась вылезти из квартиры буйного москвича через окно
12,2026-06-15,Лента.ру,Россиянам объяснят психологию мошенников
13,2026-06-15,Лента.ру,Американский Patriot не успел за российским «Цирконом» и упал
14,2026-06-15,Лента.ру,Популярного блогера ограбили и едва не застрелили на отдыхе в Европе
15,2026-06-15,Лента.ру,Финский министр выступил с предупреждением Украине
16,2026-06-15,Лента.ру,Число жертв мощного взрыва в пятиэтажке в столице российского региона выросло
17,2026-06-15,Лента.ру,Топурия потерпел первое поражение в карьере на турнире UFC в Белом доме
18,2026-06-15,Лента.ру,Кевин Спейси рассказал Собчак о своей связи с Эпштейном
19,2026-06-15,Лента.ру,Внешний вид 50-летней российской невесты взорвал соцсети
20,2026-06-15,Лента.ру,Мировые цены на нефть обрушились
21,2026-06-15,Лента.ру,Ненавидевшая четырехлетнюю дочь россиянка подвергла ее истязаниям
22,2026-06-15,Лента.ру,Работник московского метро украл оружие у коллеги в туалете
23,2026-06-15,Лента.ру,Россияне рассказали о сверхурочной работе
24,2026-06-15,Лента.ру,Китай запустил ракету Lijian-1 Y14 с восемью спутниками
25,2026-06-15,Лента.ру,Трамп направил резкое предупреждение Макрону
26,2026-06-15,Лента.ру,Андреева вошла в топ-5 рейтинга WTA
27,2026-06-15,Лента.ру,На Украине раскрыли цель ночного обстрела Киева
28,2026-06-15,Лента.ру,Зеленский прокомментировал массированный удар армии России по Киеву
29,2026-06-15,Лента.ру,"Посетители термального курорта в России пожаловались на дохлых мух, волосы и плесень"
30,2026-06-15,Лента.ру,Каллас высказалась о поименном включении всех участников СВО в черный список ЕС
