word,count
россия,79
украина,59
сша,58
иран,44
российский,43
трамп,42
всу,37
путин,35
область,34
заявить,33
удар,33
год,33
киев,33
бпнуть,30
человек,29
сообщить,25
дом,23
страна,23
атака,22
назвать,21
россиянин,21
стать,21
военный,21
москва,21
израиль,21
глава,21
день,21
пострадать,21
поразить,21
погибнуть,20
раскрыть,19
беспилотник,19
июнь,19
сила,19
пожар,18
регион,18
рассказать,17
украинский,17
дрон,17
сбить,16
мир,16
президент,16
новый,15
министр,14
взрыв,14
первый,14
сделка,14
мид,14
против,13
минобороны,13
